,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
0,760.0,Right_Hand,,India,18-Dec-91,,,236,Mandeep Singh,924.0,121.58,0
1,1032.0,Right_Hand,,West Indies,7-Oct-83,,,71,DJ Bravo,1262.0,122.29,0
2,762.0,Right_Hand,,West Indies,25-Jan-85,,,383,LMP Simmons,942.0,123.62,0
3,1153.0,Right_Hand,,Australia,29-Dec-74,,,104,BJ Hodge,1400.0,121.42,0
4,566.0,Left_Hand,,South Africa,17-Dec-92,,,355,Q de Kock,726.0,128.27,0
5,592.0,Right_Hand,,India,18-Apr-92,,,354,KL Rahul,725.0,122.47,0
6,580.0,Right_Hand,,India,18-Jul-93,,,345,M Vohra,728.0,125.52,0
7,466.0,Left_Hand,,New Zealand,6-Aug-84,,,157,JD Ryder,604.0,129.61,0
8,758.0,Right_Hand,,South Africa,27-Jun-80,,,158,KP Pietersen,1001.0,132.06,0
9,564.0,Right_Hand,,Australia,1-Feb-87,,,163,MC Henriques,692.0,122.7,0
10,1025.0,Right_Hand,,India,24-Oct-84,,,62,WP Saha,1323.0,129.07,0
11,700.0,Right_Hand,,India,6-Dec-91,,,339,KK Nair,877.0,125.29,0
12,571.0,Right_Hand,,Sri Lanka,2-Jun-87,,,191,AD Mathews,692.0,121.19,0
13,552.0,Right_Hand,,Australia,7-Sep-82,,,197,GJ Bailey,663.0,120.11,0
14,1053.0,Left_Hand,,South Africa,10-Jun-89,,,320,DA Miller,1480.0,140.55,0
15,490.0,Right_Hand,,India,26-Mar-85,,,237,KM Jadhav,626.0,127.76,0
16,933.0,Right_Hand,,India,2-Jun-89,,,306,SPD Smith,1241.0,133.01,0
17,594.0,Right_Hand,,Australia,14-Oct-88,,,305,GJ Maxwell,919.0,154.71,0
18,1036.0,Right_Hand,,South Africa,13-Jul-84,,,303,F du Plessis,1287.0,124.23,0
19,1080.0,Right_Hand,,Australia,17-Nov-86,,,254,AJ Finch,1304.0,120.74,0
20,542.0,Right_Hand,,India,3-Jun-84,,,255,STR Binny,688.0,126.94,0
21,350.0,Right_Hand,,West Indies,29-Apr-88,,,334,AD Russell,574.0,164.0,0
22,781.0,Right_Hand,,Australia,9-Jun-75,,,56,A Symonds,974.0,124.71,0
23,712.0,Left_Hand,,South Africa,10-Jun-81,,,109,JA Morkel,975.0,136.94,0
24,847.0,Right_Hand,,New Zealand,8-Mar-84,,,52,LRPL Taylor,1017.0,120.07,0
25,574.0,Right_Hand,,India,3-Jul-80,,,50,Harbhajan Singh,783.0,136.41,0
26,1101.0,Right_Hand,,Australia,15-Jul-77,,,4,DJ Hussey,1322.0,120.07,0
27,774.0,Right_Hand,,Australia,18-Aug-83,,,10,CL White,971.0,125.45,0
28,573.0,Left_Hand,,Sri Lanka,30-Jun-69,,,44,ST Jayasuriya,768.0,134.03,0
29,839.0,Left_Hand,,Australia,29-Oct-71,,,18,ML Hayden,1107.0,131.94,0
30,2996.0,Right_Hand,,India,30-Apr-87,,,57,RG Sharma,3874.0,129.31,1
31,3059.0,Left_Hand,,India,27-Nov-86,,,21,SK Raina,4106.0,134.23,1
32,2360.0,Left_Hand,,West Indies,21-Sep-79,,,162,CH Gayle,3447.0,146.06,1
33,3028.0,Left_Hand,,India,14-Oct-81,,,40,G Gambhir,3634.0,120.01,1
34,2419.0,Right_Hand,,India,7-Jul-81,,,20,MS Dhoni,3270.0,135.18,1
35,2231.0,Right_Hand,,South Africa,17-Feb-84,,,110,AB de Villiers,3270.0,146.57,1
36,2440.0,Left_Hand,,Australia,27-Oct-86,,,187,DA Warner,3373.0,138.24,1
37,3236.0,Right_Hand,,India,5-Nov-88,,,8,V Kohli,4105.0,126.85,1
38,2721.0,Right_Hand,,India,11-Nov-85,,,46,RV Uthappa,3390.0,124.59,1
39,70.0,Right_Hand,,West Indies,16-Feb-89,,,309,KK Cooper,116.0,165.71,2
40,59.0,Left_Hand,,Australia,9-Dec-81,,,285,TR Birt,75.0,127.12,2
41,280.0,Right_Hand,,India,29-Jun-90,,,329,Gurkeerat Singh,342.0,122.14,2
42,91.0,Left_Hand,,Australia,27-Jun-84,,,289,AC Blizzard,120.0,131.87,2
43,196.0,Right_Hand,,India,24-Feb-91,,,325,A Ashish Reddy,280.0,142.86,2
44,3.0,Right_Hand,,Sri Lanka,22-Jul-82,,,324,KMDN Kulasekara,5.0,166.67,2
45,4.0,Right_Hand,,India,23-May-84,,,290,I Malhotra,7.0,175.0,2
46,311.0,Right_Hand,,Pakistan,28-Feb-75,,,321,Azhar Mahmood,388.0,124.76,2
47,122.0,Right_Hand,,South Africa,31-Mar-83,,,427,HM Amla,157.0,128.69,2
48,9.0,Right_Hand,,New Zealand,28-Sep-90,,,312,DAJ Bracewell,12.0,133.33,2
49,38.0,Right_Hand,,India,23-Nov-90,,,311,HV Patel,47.0,123.68,2
50,105.0,Left_Hand,,Australia,18-Dec-86,,,426,UT Khawaja,127.0,120.95,2
51,66.0,Right_Hand,,England,15-Jun-91,,,421,SW Billings,88.0,133.33,2
52,390.0,Right_Hand,,India,14-Sep-90,,,308,SA Yadav,503.0,128.97,2
53,170.0,Left_Hand,,India,6-Jan-93,,,322,P Negi,209.0,122.94,2
54,346.0,Right_Hand,,Australia,29-Apr-90,,,310,JP Faulkner,473.0,136.71,2
55,8.0,Right_Hand,,South Africa,18-Jun-87,,,416,KJ Abbott,13.0,162.5,2
56,155.0,Left_Hand,,India,4-Oct-97,,,420,RR Pant,198.0,127.74,2
57,29.0,Left_Hand,,New Zealand,11-Jun-86,,,403,MJ McClenaghan,47.0,162.07,2
58,103.0,Right_Hand,,India,27-Oct-97,,,402,SN Khan,177.0,171.84,2
59,94.0,Right_Hand,,South Africa,18-May-85,,,401,D Wiese,127.0,135.11,2
60,33.0,Left_Hand,,India,16-Jan-94,,,398,J Suchith,48.0,145.45,2
61,224.0,Right_Hand,,India,19-Apr-95,,,394,DJ Hooda,295.0,131.7,2
62,13.0,Left_Hand,,India,20-May-93,,,390,R Tewatia,16.0,123.08,2
